,link,primary name,secondary name,symptoms
14,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,Acoustic neuroma,Acoustic neuroma,"['Hearing loss, usually gradually over months to years. In rare cases, hearing loss can be sudden. Hearing loss usually occurs on one side or is worse on one side.', 'Ringing in the affected ear, known as tinnitus.', 'Loss of balance or not feeling steady.', 'Dizziness.', 'Facial numbness and, very rarely, weakness or loss of muscle movement.']"
15,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,HIV/AIDS,Acquired immunodeficiency syndromeSee HIV/AIDS,"['Fever', 'Headache', 'Muscle aches and joint pain', 'Rash', 'Sore throat and painful mouth sores', 'Swollen lymph glands, mainly on the neck', 'Diarrhea', 'Weight loss', 'Cough', 'Night sweats']"
16,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,Acromegaly,Acromegaly,"['Enlarged hands and feet', 'Enlarged facial features, including the facial bones, lips, nose and tongue', 'Coarse, oily, thickened skin', 'Excessive sweating and body odor', 'Small outgrowths of skin tissue (skin tags)', 'Fatigue and joint or muscle weakness', 'Pain and limited joint mobility', 'A deepened, husky voice due to enlarged vocal cords and sinuses', 'Severe snoring due to obstruction of the upper airway', 'Vision problems', 'Headaches, which may be persistent or severe', 'Menstrual cycle irregularities in women', 'Erectile dysfunction in men', 'Loss of interest in sex']"
17,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,Actinic keratosis,Actinic keratosis,"['Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter', 'Flat to slightly raised patch or bump on the top layer of skin', 'In some cases, a hard, wartlike surface', 'Color variations, including pink, red or brown', 'Itching, burning, bleeding or crusting', 'New patches or bumps on sun-exposed areas of the head, neck, hands and forearms']"
18,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,Acute coronary syndrome,Acute coronary syndrome,"['Chest pain or discomfort. This is often described as aching, pressure, tightness or burning. Chest pain also is called angina.', 'Pain that starts in the chest and spreads to other parts of the body. These areas include the shoulders, arms, upper belly area, back, neck or jaw.', 'Nausea or vomiting.', 'Indigestion.', 'Shortness of breath, also called dyspnea.', 'Sudden, heavy sweating.', 'Racing heartbeat.', 'Feeling lightheaded or dizzy.', 'Fainting.', 'Unusual fatigue.']"
19,https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,Acute flaccid myelitis (AFM),Acute flaccid myelitis,"['Sudden arm or leg weakness', 'Sudden loss of muscle tone', 'Sudden loss of reflexes']"
20,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,Acute myelogenous leukemia,Acute granulocytic leukemiaSee Acute myelogenous leukemia,"['Fever', 'Bone pain', 'Lethargy and fatigue', 'Shortness of breath', 'Pale skin', 'Frequent infections', 'Easy bruising', 'Unusual bleeding, such as frequent nosebleeds and bleeding from the gums']"
21,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,Guillain-Barre syndrome,Acute inflammatory demyelinating polyneuropathySee Guillain-Barre syndrome,"['A pins and needles sensation in your fingers, toes, ankles or wrists', 'Weakness in your legs that spreads to your upper body', 'Unsteady walking or inability to walk or climb stairs', 'Difficulty with facial movements, including speaking, chewing or swallowing', 'Double vision or inability to move the eyes', 'Severe pain that may feel achy, shooting or cramplike and may be worse at night', 'Difficulty with bladder control or bowel function', 'Rapid heart rate', 'Low or high blood pressure', 'Difficulty breathing']"
22,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,Acute kidney failure,Acute kidney failure,"['Decreased urine output, although occasionally urine output remains normal', 'Fluid retention, causing swelling in your legs, ankles or feet', 'Shortness of breath', 'Fatigue', 'Confusion', 'Nausea', 'Weakness', 'Irregular heartbeat', 'Chest pain or pressure', 'Seizures or coma in severe cases']"
23,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,Acute liver failure,Acute liver failure,"['Yellowing of your skin and eyeballs (jaundice)', 'Pain in your upper right abdomen', 'A swollen belly (ascites)', 'Nausea', 'Vomiting', 'A general sense of feeling unwell (malaise)', 'Disorientation or confusion', 'Sleepiness', 'Breath may have a musty or sweet odor', 'Tremors']"
24,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Acute lymphocytic leukemia,Acute lymphoblastic leukemiaSee Acute lymphocytic leukemia,"['Bleeding from the gums', 'Bone pain', 'Fever', 'Frequent infections', 'Frequent or severe nosebleeds', 'Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin', 'Pale skin', 'Shortness of breath', 'Weakness, fatigue or a general decrease in energy']"
25,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,Radiation sickness,Acute radiation sicknessSee Radiation sickness,"['Nausea and vomiting', 'Diarrhea', 'Headache', 'Fever', 'Dizziness and disorientation', 'Weakness and fatigue', 'Hair loss', 'Bloody vomit and stools from internal bleeding', 'Infections', 'Low blood pressure']"
26,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,ARDS,Acute respiratory distress syndromeSee ARDS,"['Severe shortness of breath', 'Labored and unusually rapid breathing', 'Low blood pressure', 'Confusion and extreme tiredness']"
27,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,Acute sinusitis,Acute sinusitis,"['Thick, yellow or greenish mucus from the nose, known as a runny nose, or down the back of the throat, known as postnasal drip.', 'Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose.', 'Pain, tenderness, swelling and pressure around the eyes, cheeks, nose or forehead that gets worse when bending over.']"
28,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,Alcohol use disorder,"Addiction, alcoholSee Alcohol use disorder","['Being unable to limit the amount of alcohol you drink', 'Wanting to cut down on how much you drink or making unsuccessful attempts to do so', 'Spending a lot of time drinking, getting alcohol or recovering from alcohol use', 'Feeling a strong craving or urge to drink alcohol', 'Failing to fulfill major obligations at work, school or home due to repeated alcohol use', ""Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems"", 'Giving up or reducing social and work activities and hobbies to use alcohol', ""Using alcohol in situations where it's not safe, such as when driving or swimming"", 'Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount', ""Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms""]"
29,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,Compulsive gambling,"Addiction, gamblingSee Compulsive gambling","['Being preoccupied with gambling, such as constantly planning gambling activities and how to get more gambling money', 'Needing to gamble with increasing amounts of money to get the same thrill', 'Trying to control, cut back or stop gambling, without success', 'Feeling restless or irritable when you try to cut down on gambling', 'Gambling to escape problems or relieve feelings of helplessness, guilt, anxiety or depression', 'Trying to get back lost money by gambling more (chasing losses)', 'Lying to family members or others to hide the extent of your gambling', 'Risking or losing important relationships, a job, or school or work opportunities because of gambling', 'Asking others to bail you out of financial trouble because you gambled money away']"
30,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584,Nicotine dependence,"Addiction, nicotineSee Nicotine dependence","[""You can't stop smoking.You've made one or more serious, but unsuccessful, attempts to stop."", 'You have withdrawal symptoms when you try to stop.Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea.', ""You keep smoking despite health problems.Even though you've developed health problems with your lungs or your heart, you haven't been able to stop."", ""You give up social activities.You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations.""]"
31,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,Addison's disease,Addison's disease,"['Extreme fatigue', 'Weight loss and loss of appetite', 'Areas of darkened skin', 'Low blood pressure, even fainting', 'Salt craving', 'Low blood sugar, also called hypoglycemia', 'Nausea, diarrhea or vomiting', 'Abdominal pain', 'Muscle and joint pain', 'Irritability', 'Depression', 'Body hair loss or sexual issues in some people']"
32,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799,Mesenteric lymphadenitis,"Adenitis, mesentericSee Mesenteric lymphadenitis","['Pain in the stomach area, often on the lower right side, but the pain can be more spread out.', 'General tenderness of the stomach area.', 'Fever.', 'Enlarged mesenteric lymph nodes.']"
33,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,Adenomyosis,Adenomyosis,"['Heavy or prolonged menstrual bleeding', 'Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea)', 'Chronic pelvic pain', 'Painful intercourse (dyspareunia)']"
34,https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889,Attention-deficit/hyperactivity disorder (ADHD) in children,ADHD in childrenSee Attention-deficit/hyperactivity disorder,"['Predominantly inattentive.The majority of symptoms fall under inattention.', 'Predominantly hyperactive/impulsive.The majority of symptoms are hyperactive and impulsive.', 'Combined.This is a mix of inattentive symptoms and hyperactive/impulsive symptoms.']"
35,https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,Adult attention-deficit/hyperactivity disorder (ADHD),"ADHD, AdultSee Adult attention-deficit/hyperactivity disorder","['Impulsiveness', 'Disorganization and problems prioritizing', 'Poor time management skills', 'Problems focusing on a task', 'Trouble multitasking', 'Excessive activity or restlessness', 'Poor planning', 'Low frustration tolerance', 'Frequent mood swings', 'Problems following through and completing tasks', 'Hot temper', 'Trouble coping with stress']"
36,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684,Frozen shoulder,Adhesive capsulitisSee Frozen shoulder,"[""Freezing stage.Any movement of the shoulder causes pain, and the shoulder's ability to move becomes limited. This stage lasts from 2 to 9 months."", 'Frozen stage.Pain might lessen during this stage. However, the shoulder becomes stiffer. Using it becomes more difficult. This stage lasts from 4 to 12 months.', ""Thawing stage.The shoulder's ability to move begins to improve. This stage lasts from 5 to 24 months.""]"
37,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,Adjustment disorders,Adjustment disorders,"['Feeling sad, hopeless or not enjoying things you used to enjoy.', 'Crying often.', 'Worrying, or feeling anxious, nervous, jittery or stressed out.', ""Feeling irritable or like you can't handle anything and don't know where to start."", 'Having trouble sleeping.', 'Not eating enough.', 'Having difficulty concentrating.', 'Having difficulty with daily activities.', 'Withdrawing from family and friends who support you socially.', 'Not doing important things, such as going to work or paying bills.', 'Thinking about suicide or acting on those thoughts.']"
38,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,Adnexal tumors,Adnexal tumors,None
39,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483,Childhood schizophrenia,Adolescent schizophreniaSee Childhood schizophrenia,"['Problems with thinking and reasoning', 'Bizarre ideas or speech', 'Confusing dreams or television for reality']"
40,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,Adrenal cancer,Adrenal cancer,"['Weight gain', 'Muscle weakness', 'Pink or purple stretch marks on the skin', 'Hormone changes in women that might cause excess facial hair, hair loss on the head and irregular periods', 'Hormone changes in men that might cause enlarged breast tissue and shrinking testicles', 'Nausea', 'Vomiting', 'Abdominal bloating', 'Back pain', 'Fever', 'Loss of appetite', 'Loss of weight without trying']"
41,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190,Benign adrenal tumors,Adrenal massSee Benign adrenal tumors,None
42,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,Adrenoleukodystrophy,Adrenoleukodystrophy,None
43,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,Adult Still disease,Adult Still disease,"['Fever.Fever may rise to at least 102 degrees Fahrenheit (38.9 degrees Celsius). The fever may spike once or twice a day for a week or longer.', 'Rash.A rash might come and go with the fever. The rash usually appears on the trunk, arms or legs.', 'Sore throat.This is one of the first symptoms of adult Still disease. The lymph nodes in the neck might be swollen and tender.', 'Achy and swollen joints.Joints — especially in the knees and wrists— might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders also might ache. The joint discomfort usually lasts at least two weeks.', 'Muscle pain.Muscular pain usually comes and goes with the fever. The pain can be severe enough to disrupt daily activities.']"
44,https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,Age spots (liver spots),Age spots,"['Are flat, oval areas of increased pigmentation', 'Are usually tan to dark brown', 'Occur on skin that has had the most sun exposure over the years, such as the backs of hands, tops of feet, face, shoulders and upper back', 'Range from freckle size to about 1/2 inch (13 millimeters) across', 'Can group together, making them more noticeable']"
45,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,Dry macular degeneration,"Age-related macular degeneration, drySee Dry macular degeneration","['Visual distortions, such as straight lines seeming bent.', 'Reduced central vision in one or both eyes.', 'The need for brighter light when reading or doing close-up work.', 'Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater.', 'Increased blurriness of printed words.', 'Difficulty recognizing faces.', 'A well-defined blurry spot or blind spot in the field of vision.']"
46,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,Wet macular degeneration,"Age-related macular degeneration, wetSee Wet macular degeneration","['Visual distortions, such as straight lines seeming bent.', 'Reduced central vision in one or both eyes.', 'The need for brighter light when reading or doing close-up work.', 'Difficulty adjusting to low light levels, such as when entering a dimly lit restaurant or theater.', 'Increased blurriness of printed words.', 'Difficulty recognizing faces.', 'A well-defined blurry spot or blind spot in the field of vision.']"
47,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057,Myelofibrosis,Agnogenic myeloid metaplasiaSee Myelofibrosis,"['Feeling tired, weak or short of breath, usually because of anemia', 'Pain or fullness below your ribs on the left side, due to an enlarged spleen', 'Easy bruising', 'Easy bleeding', 'Excessive sweating during sleep (night sweats)', 'Fever', 'Bone pain']"
48,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,Agoraphobia,Agoraphobia,"['Leaving home alone.', 'Crowds or waiting in line.', 'Enclosed spaces, such as movie theaters, elevators or small stores.', 'Open spaces, such as parking lots, bridges or malls.', 'Using public transportation, such as a bus, plane or train.']"
49,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,Airplane ear,Airplane ear,"['Moderate discomfort or pain in your ear', 'Feeling of fullness or stuffiness in your ear', 'Muffled hearing or slight to moderate hearing loss']"
50,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,Albinism,Albinism,"['Freckles.', 'Moles, with or without color, which are sometimes pink.', 'Large freckle-like spots, called solar lentigines (len-TIJ-ih-neez).', 'Sunburn and no ability to tan.']"
51,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,Alcohol intolerance,Alcohol intolerance,"['Facial redness (flushing)', 'Red, itchy skin bumps (hives)', 'Worsening of pre-existing asthma', 'Runny or stuffy nose', 'Low blood pressure', 'Nausea and vomiting', 'Diarrhea']"
52,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,Alcohol poisoning,Alcohol poisoning,"['Confusion.', 'Vomiting.', 'Seizures.', 'Slow breathing, which is fewer than eight breaths a minute.', ""Breathing that's not regular. This is when there is a gap of more than 10 seconds between breaths."", 'Skin that looks blue, gray or pale.', 'Low body temperature, also known as hypothermia.', 'Trouble staying conscious or awake.']"
53,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,Alcoholic hepatitis,Alcoholic hepatitis,"['Loss of appetite.', 'Nausea and vomiting.', 'Belly tenderness.', 'Fever, often low grade.', 'Tiredness and weakness.']"
54,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,Churg-Strauss syndrome,Allergic granulomatosisSee Churg-Strauss syndrome,"['Loss of appetite and weight loss', 'Joint and muscle pain', 'Abdominal pain and gastrointestinal bleeding', 'Weakness, fatigue or a general feeling of being unwell', 'Rash or skin sores', 'Pain, numbness, and tingling in your hands and feet']"
55,https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039,Hay fever,Allergic rhinitisSee Hay fever,"['Runny nose and nasal stuffiness (congestion)', 'Watery, itchy, red eyes (allergic conjunctivitis)', 'Sneezing', 'Cough', 'Itchy nose, roof of mouth or throat', 'Mucus that runs down the back of your throat (postnasal drip)', 'Swollen, bruised-appearing skin under the eyes (allergic shiners)', 'Extreme tiredness (fatigue), often due to poor sleep']"
56,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,Allergies,Allergies,"['Sneezing', 'Itching of the nose, eyes or roof of the mouth', 'Runny, stuffy nose', 'Watery, red or swollen eyes (conjunctivitis)']"
57,https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173,Dust mite allergy,"Allergy, dust miteSee Dust mite allergy","['Sneezing', 'Runny nose', 'Itchy, red or watery eyes', 'Nasal congestion', 'Itchy nose, roof of mouth or throat', 'Postnasal drip', 'Cough', 'Facial pressure and pain', 'Swollen, blue-colored skin under your eyes', 'In a child, frequent upward rubbing of the nose']"
58,https://www.mayoclinic.org/diseases-conditions/egg-allergy/symptoms-causes/syc-20372115,Egg allergy,"Allergy, eggSee Egg allergy","['Skin inflammation or hives — the most common egg allergy reaction', 'Nasal congestion, runny nose and sneezing (allergic rhinitis)', 'Digestive symptoms, such as cramps, nausea and vomiting', 'Asthma signs and symptoms such as coughing, wheezing, chest tightness or shortness of breath']"
59,https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095,Food allergy,"Allergy, foodSee Food allergy","['Tingling or itching in the mouth', 'Hives, itching or eczema', 'Swelling of the lips, face, tongue and throat or other parts of the body', 'Wheezing, nasal congestion or trouble breathing', 'Abdominal pain, diarrhea, nausea or vomiting', 'Dizziness, lightheadedness or fainting']"
60,https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287,Latex allergy,"Allergy, latexSee Latex allergy","['Itching', 'Skin redness', 'Hives or rash']"
61,https://www.mayoclinic.org/diseases-conditions/milk-allergy/symptoms-causes/syc-20375101,Milk allergy,"Allergy, milkSee Milk allergy","['Hives', 'Wheezing', 'Itching or tingling feeling around the lips or mouth', 'Swelling of the lips, tongue or throat', 'Coughing or shortness of breath', 'Vomiting']"
62,https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519,Mold allergy,"Allergy, moldSee Mold allergy","['Sneezing', 'Runny or stuffy nose', 'Cough and postnasal drip', 'Itchy eyes, nose and throat', 'Watery eyes', 'Dry, scaly skin']"
63,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529,Nickel allergy,"Allergy, nickelSee Nickel allergy","['Rash or bumps on the skin', 'Itching, which may be severe', 'Redness or changes in skin color', 'Dry patches of skin that may resemble a burn', 'Blisters and draining fluid in severe cases']"
64,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/symptoms-causes/syc-20376175,Peanut allergy,"Allergy, peanutSee Peanut allergy","['Skin reactions, such as hives, redness or swelling', 'Itching or tingling in or around the mouth and throat', 'Digestive problems, such as diarrhea, stomach cramps, nausea or vomiting', 'Tightening of the throat', 'Shortness of breath or wheezing', 'Runny nose']"
65,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222,Penicillin allergy,"Allergy, penicillinSee Penicillin allergy","['Skin rash', 'Hives', 'Itching', 'Fever', 'Swelling', 'Shortness of breath', 'Wheezing', 'Runny nose', 'Itchy, watery eyes', 'Anaphylaxis']"
66,https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192,Pet allergy,"Allergy, petSee Pet allergy","['Sneezing', 'Runny nose', 'Itchy, red or watery eyes', 'Nasal congestion', 'Itchy nose, roof of mouth or throat', 'Postnasal drip', 'Cough', 'Facial pressure and pain', 'Frequent awakening', 'Swollen, blue-colored skin under your eyes', 'In a child, frequent upward rubbing of the nose']"
67,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/symptoms-causes/syc-20377503,Shellfish allergy,"Allergy, shellfishSee Shellfish allergy","['Hives', 'Itchy, irritated skin', 'Nasal stuffiness (congestion)', 'Swelling of the lips, face, tongue and throat, or other parts of the body', 'Wheezing or trouble breathing', 'Coughing and choking or a tight feeling in the throat', 'Belly (abdominal) pain, diarrhea, nausea or vomiting', 'Dizziness, lightheadedness or fainting']"
68,https://www.mayoclinic.org/diseases-conditions/wheat-allergy/symptoms-causes/syc-20378897,Wheat allergy,"Allergy, wheatSee Wheat allergy","['Swelling, itching or irritation of the mouth or throat', 'Hives, itchy rash or swelling of the skin', 'Nasal congestion', 'Headache', 'Difficulty breathing', 'Cramps, nausea or vomiting', 'Diarrhea', 'Anaphylaxis']"
